Clostridium butyricum	1:NZ_CP013352.1/CP013352.1	2:NZ_CP013353.1/CP013353.1						
Burkholderia thailandensis	1:NZ_CP013360.1/CP013360.1	2:NZ_CP013361.1/CP013361.1						
Burkholderia diffusa	1:NZ_CP013362.1/CP013362.1	2:NZ_CP013363.1/CP013363.1	3:NZ_CP013364.1/CP013364.1					
Burkholderia territorii	1:NZ_CP013366.1/CP013366.1	2:NZ_CP013365.1/CP013365.1	3:NZ_CP013367.1/CP013367.1					
Burkholderia ubonensis	1:NZ_CP013370.1/CP013370.1	2:NZ_CP013371.1/CP013371.1	3:NZ_CP013368.1/CP013368.1					
Burkholderia cepacia	1:NZ_CP013375.1/CP013375.1	2:NZ_CP013376.1/CP013376.1						
Burkholderia pseudomultivorans	1:NZ_CP013378.1/CP013378.1	2:NZ_CP013377.1/CP013377.1						
Burkholderia sp. Bp5365	1:NZ_CP013380.1/CP013380.1	2:NZ_CP013382.1/CP013382.1						
Burkholderia vietnamiensis	1:NZ_CP013393.1/CP013393.1	2:NZ_CP013394.1/CP013394.1	3:NZ_CP013395.1/CP013395.1					
Burkholderia seminalis	1:NZ_CP013398.1/CP013398.1	2:NZ_CP013400.1/CP013400.1	3:NZ_CP013399.1/CP013399.1					
